%%TM,TN,TQ,Stat,Clas,M,PR,PA,PE,PT,MR,MA,ME,MT,H,Str,FX,FY,FZ,FVX,FVY,FVZ,FVR,FAX,FAY,FAZ,FT,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
50,44,14,3,0,1,20997.67,12.5237,1.0118,22243.979,21002.08,12.6845,0.8569,22244,1,80914.3,4574.6255,20491.7734,350.3318,12.38,-2.83,7.71,14.86,0,0,0,22244,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20797.67,21197.67,11.22,13.82,0,3.41
50,44,14,3,0,1,20999.15,12.6018,0.9664,22244.5,20996.21,12.5179,1.1467,22244.508,1,74695.45,4570.0488,20491.375,378.7654,8.8,-2.4,15.63,18.1,0,0,0,22244.51,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20799.15,21199.15,11.3,13.9,0,3.37
50,44,14,3,0,1,20998.15,12.585,1.0549,22245.008,20993.5,12.4226,1.0572,22245.012,1,75242.2,4555.3086,20493.2676,386.8228,2.95,-1.12,15.7,16.02,0,0,0,22245.01,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20798.15,21198.15,11.28,13.88,0,3.45
50,44,14,3,0,1,20996.93,12.5364,1.077,22245.512,20956.06,12.2673,0.9095,22245.535,1,52957.63,4525.0215,20488.0703,377.0635,-6.09,-3.03,10.85,12.81,0,0,0,22245.54,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20796.93,21196.93,11.24,13.84,0,3.48
50,44,14,3,0,1,20983.17,12.4473,1.0445,22246.035,20976.69,12.4874,1.1446,22246.035,1,55008.09,4525.6357,20483.7031,393.502,-5.11,-4.18,13.7,15.21,0,0,0,22246.04,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20783.17,21183.17,11.15,13.75,0,3.44
50,44,14,3,0,1,20978.92,12.4531,1.0935,22246.535,21023.39,12.6804,0.9412,22246.564,1,67497.63,4547.709,20489.2871,386.6423,1.19,-1.16,10.33,10.46,0,0,0,22246.56,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20778.92,21178.92,11.15,13.75,0,3.49
50,44,14,3,0,1,20991.13,12.5162,1.0695,22247.064,20956.95,12.5328,0.9864,22247.049,1,105376.03,4547.9497,20474.7188,384.2859,1.1,-6.54,8.56,10.83,0,0,0,22247.05,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20791.13,21191.13,11.22,13.82,0,3.47
50,44,14,3,0,1,20974.27,12.5269,1.0615,22247.549,20994.4,12.7617,1.0039,22247.539,1,251734.67,4570.3755,20471.7734,383.7047,6.34,-6.42,7.45,11.7,0,0,0,22247.54,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20774.27,21174.27,11.23,13.83,0,3.46
50,44,14,3,0,1,20976.88,12.5954,1.0583,22248.039,20996.14,12.5813,1.0209,22248.023,1,93802.57,4573.3555,20474.377,384.3643,6.3,-4.17,6.77,10.14,0,0,0,22248.02,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20776.88,21176.88,11.3,13.9,0,3.46
50,44,14,3,0,1,20981.17,12.6011,1.0589,22248.523,20941.62,12.384,1.1504,22248.539,1,85532.48,4556.4834,20465.6758,395.8269,1.66,-6.7,8.52,10.97,0,0,0,22248.54,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20781.17,21181.17,11.3,13.9,0,3.46
50,44,14,3,0,1,20967.5,12.5558,1.0933,22249.039,20961.41,12.4612,1.0519,22249.031,1,189660.67,4549.3687,20463.082,396.7717,-0.16,-6.42,7.81,10.11,0,0,0,22249.03,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20767.5,21167.5,11.26,13.86,0,3.49
50,44,14,3,0,1,20963.37,12.5359,1.0952,22249.531,20986.24,12.4963,0.9732,22249.514,1,288346.66,4547.3008,20467.0664,391.742,-0.62,-3.63,5.91,6.97,0,0,0,22249.51,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20763.37,21163.37,11.24,13.84,0,3.5
50,26,14,3,0,1,3783.32,206.2583,18.3133,23015.783,3783.32,206.2583,18.3133,23015.783,0,0,-1589.0371,-3221.0764,1188.7659,-23.57,-0.8,-7.09,24.62,0,0,0,23015.78,13.187484,78.163879,755.619995,13.187484,78.163879,755.6199951,1905.88,5626.81,203.04,208.24,15.62,20.42
50,26,13,3,0,1,3783.72,206.2738,18.3061,23016.33,3783.72,206.2738,18.3061,23016.33,0,0,-1590.1423,-3221.1135,1188.4436,-23.57,-0.8,-7.09,24.62,0,0,0,23016.33,13.187484,78.163879,755.609985,13.187484,78.163879,755.6099854,3583.72,3983.72,204.97,207.57,17.11,19.51
50,26,14,4,0,1,3792.74,206.6272,18.1403,23016.9,3776.39,206.5854,18.747,23016.947,1,3653.88,-1605.0553,-3204.8845,1203.3304,-19.34,6.14,2.1,20.4,0,0,0,23016.95,13.187484,78.163879,755.609985,13.187484,78.163879,755.6099854,3592.74,3992.74,205.33,207.93,16.94,19.34
50,26,14,3,0,1,3781.17,206.6224,18.5588,23017.447,3781.17,206.6224,18.5588,23017.447,0,0,-1606.2638,-3204.5007,1203.4618,-19.34,6.14,2.1,20.4,0,0,0,23017.45,13.187484,78.163879,755.609985,13.187484,78.163879,755.6099854,3581.17,3981.17,205.32,207.92,17.36,19.76
50,26,13,3,0,1,3784.79,206.9331,18.573,23017.98,3806.28,205.859,17.6857,23017.988,1,3166.14,-1601.193,-3236.2776,1177.2697,-0.16,-24.75,-20.39,32.07,0,0,0,23017.99,13.187484,78.163879,755.609985,13.187484,78.163879,755.6099854,3584.79,3984.79,205.63,208.23,17.37,19.77
50,26,13,3,0,1,3805.25,206.2388,17.8607,23018.488,3806.46,205.6601,17.7514,23018.508,1,14146.7,-1583.6925,-3259.6606,1163.3596,13.75,-33.62,-23.35,43.18,0,0,0,23018.51,13.187484,78.163879,755.609985,13.187484,78.163879,755.5999756,3605.25,4005.25,204.94,207.54,16.66,19.06
